,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.7628250598907471,0.057762132298360594,4.13053708076477,0.037741252779303465,0.027,240,"{'learning_rate': 0.027, 'n_estimators': 240}",0.03360382819468014,0.03395438453219545,0.03310014245144518,0.033588485583322863,0.032581638652916696,0.033365695882912064,0.00047710815109031405,1
1,0.7975643634796142,0.03348999475571071,4.142737674713135,0.013465722227135768,0.027,260,"{'learning_rate': 0.027, 'n_estimators': 260}",0.03354853866060993,0.03390201472040974,0.03304242098322361,0.033515007068208515,0.032523845642405666,0.03330636541497149,0.0004772800379116615,4
2,0.8230671882629395,0.03129948568101178,4.07347469329834,0.041341398573237195,0.027,280,"{'learning_rate': 0.027, 'n_estimators': 280}",0.033512250921122894,0.03384745939568591,0.03300239233854367,0.03347374177033237,0.032483963182997524,0.033263961521736475,0.0004739073735412457,10
3,0.7182583808898926,0.027774930219441968,4.129308032989502,0.0304240205561993,0.028,240,"{'learning_rate': 0.028, 'n_estimators': 240}",0.03358581082929543,0.03391860763611313,0.03312726192429997,0.03355525543696572,0.03253588079811678,0.03334456332495821,0.00047608942931494055,2
4,0.8431162357330322,0.09820403647449362,4.786788558959961,0.3889710627281307,0.028,260,"{'learning_rate': 0.028, 'n_estimators': 260}",0.03354498993315179,0.03386301074898816,0.033070519461373536,0.033492073901493995,0.03248574205696804,0.033291267220395104,0.00047522406560649837,7
5,1.0402809143066407,0.09694095022228214,4.7230547904968265,0.422507023951195,0.028,280,"{'learning_rate': 0.028, 'n_estimators': 280}",0.0334947119406724,0.03382560187112482,0.03302743103066796,0.033444447236500516,0.03243818001080753,0.033246074417954644,0.00047697437367698206,15
6,0.7628609657287597,0.020778065898584337,4.223254203796387,0.03477810253360802,0.029,240,"{'learning_rate': 0.029, 'n_estimators': 240}",0.03356629152385712,0.033874072100847016,0.033075890018045485,0.03353277750183313,0.0325292911509293,0.03331566445910241,0.000468539401899437,3
7,0.8182718276977539,0.03366920616055694,4.1781150817871096,0.03411300564837059,0.029,260,"{'learning_rate': 0.029, 'n_estimators': 260}",0.03353107684569417,0.03384199657602274,0.033042082251817144,0.03347150345939366,0.0324578967593447,0.033268911178454486,0.0004790401010864888,9
8,0.8669544219970703,0.030112488276011824,4.184696245193481,0.06740152815348625,0.029,280,"{'learning_rate': 0.029, 'n_estimators': 280}",0.03349873766007085,0.03381350448287263,0.032993798870007904,0.03340601290584621,0.03241659701735269,0.03322573018723006,0.00048187180535509184,19
9,0.7440587043762207,0.020718887474124068,4.1565991878509525,0.05686267335130091,0.030000000000000002,240,"{'learning_rate': 0.030000000000000002, 'n_estimators': 240}",0.03356558156019093,0.033856554607317485,0.03308354752213501,0.03346952512124861,0.032522878158375124,0.03329961739385343,0.00046038997876607677,5
10,0.8186339855194091,0.03989010140291166,4.178912925720215,0.012436861138832139,0.030000000000000002,260,"{'learning_rate': 0.030000000000000002, 'n_estimators': 260}",0.03352689136549982,0.03381146063710933,0.03303885978935999,0.03340935249272119,0.03247427197743951,0.03325216725242597,0.0004612181177853606,12
11,0.854316234588623,0.0447732795611313,4.144261980056763,0.059009819695635055,0.030000000000000002,280,"{'learning_rate': 0.030000000000000002, 'n_estimators': 280}",0.03348655850689689,0.03377496559584923,0.033009752761610514,0.03336455038259384,0.03243429992324504,0.033214025434039104,0.0004607135982265902,22
12,0.7423268795013428,0.029127683353150143,4.158524227142334,0.03156816228234491,0.031000000000000003,240,"{'learning_rate': 0.031000000000000003, 'n_estimators': 240}",0.033544959455821685,0.03386836134196272,0.03307955109605713,0.03346919534671396,0.03249886779759087,0.03329218700762927,0.0004694192424946747,6
13,0.8176429271697998,0.009930058217991587,4.216909265518188,0.05507085864830884,0.031000000000000003,260,"{'learning_rate': 0.031000000000000003, 'n_estimators': 260}",0.033527739827148934,0.033829253959013574,0.03303930648587619,0.033396949390526544,0.032448878240631876,0.03324842558063942,0.0004733802108747353,14
14,0.8779735565185547,0.01893889622572388,4.198573732376099,0.034405594461303264,0.031000000000000003,280,"{'learning_rate': 0.031000000000000003, 'n_estimators': 280}",0.03349761570109666,0.03380629987733844,0.03300321445516461,0.033350186479898514,0.032416134685128974,0.03321469023972544,0.00047556723864081195,21
15,0.7318410396575927,0.017757481241976205,4.217961549758911,0.03561431980738239,0.032,240,"{'learning_rate': 0.032, 'n_estimators': 240}",0.03354279405043888,0.03383325418006376,0.03304578269359721,0.03344902842198023,0.032490665391769764,0.03327230494756996,0.0004650445805189605,8
16,0.7870518207550049,0.023797168713161072,4.1745874881744385,0.016735041047723692,0.032,260,"{'learning_rate': 0.032, 'n_estimators': 260}",0.03350142878325868,0.033802107022349426,0.0330049766400289,0.033401205097575395,0.03244790761420782,0.03323152503148405,0.0004674577197309424,17
17,0.865334939956665,0.03841261921045256,4.142974042892456,0.08589567830367796,0.032,280,"{'learning_rate': 0.032, 'n_estimators': 280}",0.03348003890626209,0.03378286325597024,0.03297354474949742,0.03337368930816131,0.03239851520938548,0.03320173028585531,0.0004779046391428184,24
18,0.7443396091461182,0.02862295034157464,4.233931255340576,0.0683702914824686,0.033,240,"{'learning_rate': 0.033, 'n_estimators': 240}",0.03353371531604782,0.03381665488406143,0.03304997085097757,0.03344129712238958,0.03247148278408791,0.033262624191512866,0.0004655084515019472,11
